Banner,UPC,Northern California,New York,Kansas,Texas
Walmart,35072231,,46.67,,45.3
Wegmans,35072231,,50.19,48.19,48.69
Walmart,38126522,,53.86,,52.34
Whole Foods,38126522,,63.19,1.99,
Wegmans,38126522,,57.89,,56.19
Trader Joes,38126522,,56.79,,55.09
Safeway,38126522,,,57.29,57.89
Wegmans,38399923,,39.19,,37.99
Trader Joes,38399923,,,,37.29
Safeway,38399923,45.49,,38.79,39.19
Walmart,38399923,,36.46,,35.37
Whole Foods,38399923,,42.69,1.99,
Whole Foods,39408244,72.19,63.99,1.99,62.19
Wegmans,39408244,,58.69,,56.99
Walmart,39408244,61.56,54.64,52.45,53.07
Trader Joes,39408244,64.79,,55.29,55.79
Walmart,39601228,,21.37,20.51,20.74
Wegmans,39601228,,22.89,,22.29
Safeway,39601228,,,22.69,22.89
Trader Joes,39601228,,22.49,21.59,21.79
Whole Foods,39601228,28.19,24.99,1.99,24.29
Wegmans,40555797,,27.69,,26.89
Trader Joes,40555797,30.59,27.09,,
Whole Foods,40555797,,30.19,1.99,
Safeway,40555797,32.19,,27.39,27.69
Walmart,40555797,,25.7,24.71,
Wegmans,41066545,,56.69,,
Whole Foods,41066545,,61.79,1.99,59.99
Safeway,41066545,,,56.09,56.69
Trader Joes,43366358,,,44.39,
Wegmans,43366358,,47.09,,45.69
Safeway,43366358,,,46.59,47.09
Whole Foods,43366358,57.89,51.39,1.99,
Walmart,43366358,,43.83,42.12,42.57
Wegmans,44053660,,3.19,3.09,
Safeway,44053660,3.69,,3.19,3.19
Whole Foods,44053660,3.89,,1.99,3.39
Trader Joes,44053660,3.49,,2.99,2.99
Walmart,44053660,,3.01,2.97,
Walmart,44276570,40.3,35.86,34.43,
Safeway,44276570,,,,38.49
Trader Joes,44276570,42.49,37.69,36.19,36.59
Wegmans,44276570,,38.49,36.99,37.39
Whole Foods,44276570,,41.99,1.99,
Walmart,44385546,12.8,11.42,10.9,11.15
Safeway,44385546,,,12.09,12.19
Whole Foods,44385546,14.99,13.39,1.99,
Wegmans,44385546,,12.19,11.79,11.89
Trader Joes,44385546,13.49,11.99,,11.69
Walmart,45509167,,26.16,25.13,
Whole Foods,45509167,34.49,30.59,1.99,29.69
Wegmans,45509167,,28.09,,27.19
Trader Joes,45509167,,,,26.69
Safeway,45509167,,,27.79,28.09
Walmart,45824749,,26.85,25.81,
Whole Foods,45824749,35.49,31.49,1.99,30.59
Wegmans,45824749,,28.89,,27.99
Safeway,45824749,,,28.59,
Trader Joes,45824749,31.89,28.29,,27.49
Whole Foods,45845527,,1.79,1.99,
Safeway,45845527,,,,1.69
Walmart,45845527,1.83,,1.52,
Wegmans,45845527,,1.69,,1.59
Trader Joes,45845527,,1.59,,1.59
Trader Joes,47158754,27.29,,23.29,23.49
Wegmans,47158754,,24.69,,23.99
Whole Foods,47158754,30.39,,1.99,26.19
Safeway,47158754,28.69,,24.49,24.69
Walmart,47158754,25.9,23.06,22.11,22.36
Safeway,47174618,,,3.79,3.79
Walmart,47174618,,3.64,,3.5
Wegmans,47174618,,3.79,3.69,3.69
Whole Foods,47174618,4.69,4.19,1.99,4.09
Trader Joes,47174618,,,3.59,3.69
Safeway,48013704,,,,50.49
Whole Foods,48013704,62.09,55.09,1.99,
Trader Joes,48013704,,49.49,47.49,47.99
Wegmans,48013704,,50.49,,48.99
Walmart,48013704,,46.91,45.13,45.52
Safeway,48258595,,,18.39,18.49
Trader Joes,48258595,,,,17.59
Whole Foods,48258595,22.79,20.19,1.99,
Wegmans,48258595,,18.49,,17.99
Walmart,48258595,,17.26,16.63,16.74
Safeway,51294147,,,,14.69
Walmart,51294147,,,,13.35
Wegmans,51294147,,14.69,14.09,14.29
Whole Foods,51294147,,15.99,1.99,15.59
Trader Joes,51294147,,14.39,,13.99
Safeway,52851370,,,42.59,43.09
Wegmans,52851370,,43.09,41.39,
Walmart,52851370,,40.01,,38.96
Whole Foods,52851370,52.99,46.99,1.99,
Trader Joes,52851370,47.59,42.19,,40.99
Trader Joes,53317855,,,33.29,33.59
Safeway,53317855,,,34.99,35.29
Walmart,53317855,,32.81,31.61,31.93
Whole Foods,53317855,,38.49,1.99,37.39
Wegmans,53317855,,35.29,,34.29
Safeway,54236183,,,22.29,
Whole Foods,54236183,,,1.99,23.79
Trader Joes,54236183,,21.99,,21.39
Walmart,54236183,,20.97,,
Wegmans,54236183,,22.49,21.59,21.79
Wegmans,54548062,,41.69,,40.49
Walmart,54548062,,38.84,,
Trader Joes,54548062,46.09,40.89,39.29,39.69
Safeway,54548062,48.49,,41.29,41.69
Whole Foods,54548062,,45.49,1.99,44.19
Trader Joes,55404606,,37.49,36.09,36.39
Safeway,55404606,,,37.89,38.29
Whole Foods,55404606,47.09,41.79,1.99,
Walmart,55404606,,,34.2,34.53
Wegmans,55404606,,38.29,36.79,37.19
Safeway,55833407,33.49,,28.59,28.89
Whole Foods,55833407,35.49,31.49,1.99,30.59
Walmart,55833407,30.2,26.86,,
Trader Joes,55833407,,28.29,,27.39
Wegmans,55833407,,28.89,27.69,27.99
Whole Foods,56176612,38.29,33.99,1.99,32.99
Safeway,56176612,36.19,,30.89,31.19
Walmart,56176612,,29.06,,
Wegmans,56176612,,31.19,,30.29
Trader Joes,56176612,,,29.39,29.69
Wegmans,57394222,,31.79,,30.89
Walmart,57394222,33.33,29.6,28.45,28.72
Whole Foods,57394222,39.09,34.69,1.99,
Trader Joes,57394222,,31.19,29.99,30.29
Safeway,57394222,36.89,,,31.79
Whole Foods,57714338,,28.49,1.99,
Walmart,57714338,27.47,24.31,23.42,
Wegmans,57714338,,26.19,25.19,25.39
Safeway,57714338,,,25.89,26.19
Trader Joes,57714338,,25.59,,24.89
Safeway,58785197,,,20.79,20.99
Whole Foods,58785197,,,1.99,22.19
Wegmans,58785197,,20.99,20.19,20.39
Walmart,58785197,,19.5,,18.91
Trader Joes,58785197,23.19,20.59,19.79,19.99
Safeway,59479815,,,45.89,
Trader Joes,59479815,51.19,,43.69,44.09
Whole Foods,59479815,56.99,,1.99,49.09
Walmart,59479815,,,,41.96
Wegmans,59479815,,46.39,,44.99
Whole Foods,60042797,16.19,,1.99,13.99
Trader Joes,60042797,,,12.39,12.59
Wegmans,60042797,,13.19,,12.79
Walmart,60042797,13.84,12.32,,11.92
Safeway,60042797,,,13.09,13.19
Trader Joes,60168857,2.19,,,1.89
Wegmans,60168857,,1.99,,1.99
Safeway,60168857,,,1.99,1.99
Whole Foods,60168857,,2.19,1.99,2.19
Walmart,60168857,,1.97,,1.86
Whole Foods,60193187,9.79,8.69,1.99,
Wegmans,60193187,,7.99,7.69,7.79
Safeway,60193187,,,,7.99
Trader Joes,60193187,,7.79,,7.59
Walmart,60193187,,7.41,7.14,7.23
Walmart,60912855,53.87,47.73,45.93,46.36
Safeway,60912855,,,50.79,51.39
Wegmans,60912855,,,,49.79
Whole Foods,60912855,63.09,55.99,1.99,
Trader Joes,60912855,56.69,50.29,48.39,
Trader Joes,61278034,,22.49,,21.89
Walmart,61278034,,21.43,20.56,20.77
Safeway,61278034,26.69,,22.79,22.99
Whole Foods,61278034,,25.09,1.99,
Wegmans,61278034,,22.99,22.09,22.29
Whole Foods,61566790,,,1.99,35.39
Wegmans,61566790,,33.39,,32.39
Walmart,61566790,,31.06,,30.11
Safeway,61566790,38.79,,33.09,33.39
Trader Joes,61566790,,,31.39,31.79
Whole Foods,62068892,,12.09,1.99,11.69
Wegmans,62068892,,11.09,10.59,10.69
Safeway,62068892,,,10.99,11.09
Trader Joes,62068892,12.19,,,10.49
Walmart,62068892,,10.34,9.92,10.03
Safeway,62563085,,,47.69,48.19
Trader Joes,62563085,,,45.39,45.89
Whole Foods,62563085,59.29,52.59,1.99,51.09
Wegmans,62563085,,48.19,46.29,46.79
Walmart,62563085,50.51,,43.15,43.56
Walmart,63494206,23.34,20.65,,
Safeway,63494206,,,,22.19
Wegmans,63494206,,22.19,,21.59
Whole Foods,63494206,27.29,24.19,,
Trader Joes,63494206,,21.79,20.89,21.09
Walmart,65837987,,52.53,,51.07
Wegmans,65837987,,56.49,54.29,54.79
Whole Foods,65837987,,61.59,1.99,59.79
Trader Joes,65837987,62.39,,,53.69
Safeway,65837987,,,55.89,
Safeway,66025021,,,34.09,34.39
Whole Foods,66025021,,37.49,1.99,36.39
Walmart,66025021,36.14,32.07,30.73,
Trader Joes,66025021,,,32.39,32.69
Wegmans,66025021,,34.39,,33.39
Whole Foods,68034486,6.49,,,5.59
Walmart,68034486,5.51,4.93,4.74,
Trader Joes,68034486,,,4.99,4.99
Safeway,68034486,6.09,,5.19,5.29
Wegmans,68034486,,5.29,,5.09
Wegmans,69037528,,3.19,,3.09
Trader Joes,69037528,,,,2.99
Whole Foods,69037528,,3.49,1.99,3.39
Safeway,69037528,,,3.19,3.19
Walmart,69037528,3.33,3.0,2.9,2.96
Wegmans,69584995,,11.79,11.29,11.39
Trader Joes,69584995,12.99,,11.09,
Whole Foods,69584995,14.49,12.79,1.99,
Walmart,69584995,,11.02,10.5,
Safeway,69584995,13.69,,11.69,11.79
Whole Foods,70124770,70.39,62.49,1.99,
Safeway,70124770,,,56.69,57.29
Trader Joes,70124770,63.19,,,54.49
Wegmans,70124770,,57.29,,55.59
Walmart,70124770,60.02,53.26,,51.75
Walmart,70324549,,41.41,39.86,40.21
Safeway,70324549,51.69,,44.09,44.49
Whole Foods,70324549,54.69,48.59,1.99,
Wegmans,70324549,,,,43.19
Trader Joes,70324549,,43.59,,42.29
Whole Foods,70848410,3.29,2.89,1.99,
Wegmans,70848410,,2.69,,2.59
Safeway,70848410,,,2.69,2.69
Walmart,70848410,2.85,2.57,2.4,2.45
Trader Joes,70848410,2.99,,,2.59
Trader Joes,71726448,9.09,,7.79,7.89
Walmart,71726448,8.71,7.73,7.46,
Safeway,71726448,,,8.19,8.29
Whole Foods,71726448,10.09,8.99,1.99,
Wegmans,71726448,,8.29,7.89,7.99
Trader Joes,73544548,38.69,,32.99,33.39
Walmart,73544548,36.72,32.64,31.36,31.64
Safeway,73544548,,,34.69,
Whole Foods,73544548,,38.19,1.99,
Wegmans,73544548,,35.09,,33.99
Safeway,73570156,,,23.99,24.29
Whole Foods,73570156,,26.49,1.99,25.69
Wegmans,73570156,,24.29,23.29,23.59
Walmart,73570156,,22.63,21.75,
Trader Joes,73570156,,,22.89,23.09
Whole Foods,74029795,,45.29,1.99,43.99
Wegmans,74029795,,41.59,,40.29
Safeway,74029795,48.29,,41.09,41.59
Walmart,74029795,43.5,38.66,,
Trader Joes,74029795,,,,39.49
Wegmans,75242878,,3.89,,3.79
Walmart,75242878,,3.67,,3.52
Whole Foods,75242878,,4.19,,4.09
Safeway,75242878,,,3.79,3.89
Trader Joes,75242878,,3.79,,3.69
Trader Joes,77045464,,12.89,12.39,12.49
Whole Foods,77045464,,14.39,1.99,
Wegmans,77045464,,13.19,,12.79
Safeway,77045464,,,,13.19
Walmart,77045464,13.81,12.36,11.81,
Safeway,77460052,,,1.19,1.19
Trader Joes,77460052,,,,1.09
Whole Foods,77460052,1.39,,1.99,
Wegmans,77460052,,1.19,1.09,1.09
Walmart,77460052,,1.12,,1.12
Wegmans,79218866,,51.49,,
Safeway,79218866,59.79,,50.99,
Walmart,79218866,,,46.0,46.51
Whole Foods,79218866,63.29,56.19,1.99,
Trader Joes,79218866,,50.49,,48.99
Safeway,81313305,,,52.99,53.59
Walmart,81313305,56.14,,,48.32
Trader Joes,81313305,59.19,52.49,,50.99
Whole Foods,81313305,,58.49,1.99,56.69
Wegmans,81313305,,53.59,51.49,51.99
Trader Joes,81927167,39.49,35.09,33.69,33.99
Walmart,81927167,37.52,33.31,32.07,32.32
Whole Foods,81927167,43.99,38.99,,37.89
Wegmans,81927167,,35.79,,34.69
Safeway,81927167,,,35.39,35.79
Wegmans,83141336,,53.49,,51.89
Walmart,83141336,56.02,,47.86,48.26
Whole Foods,83141336,,,1.99,56.59
Safeway,83141336,,,52.89,53.49
Trader Joes,83141336,59.09,52.39,,50.89
Wegmans,86262532,,51.49,,49.99
Safeway,86262532,59.79,,50.99,51.49
Trader Joes,86262532,,50.49,,48.99
Whole Foods,86262532,63.39,56.19,1.99,54.59
Walmart,86262532,,47.93,,46.51
Whole Foods,86858655,,,1.99,
Trader Joes,86858655,,,2.49,2.49
Walmart,86858655,2.8,2.55,2.45,
Wegmans,86858655,,2.69,2.59,2.59
Safeway,86858655,,,2.59,
Wegmans,87093736,,25.69,,24.89
Trader Joes,87093736,,,,24.39
Safeway,87093736,,,25.39,25.69
Walmart,87093736,,23.97,23.04,
Whole Foods,87093736,,27.99,1.99,
Safeway,88576101,,,54.99,55.49
Trader Joes,88576101,61.29,,,52.79
Wegmans,88576101,,55.49,,53.89
Walmart,88576101,58.24,51.66,,50.12
Whole Foods,88576101,68.29,60.59,1.99,58.79
Whole Foods,90756884,,40.19,1.99,38.99
Safeway,90756884,,,36.49,36.89
Wegmans,90756884,,36.89,,35.79
Walmart,90756884,38.67,34.33,32.95,
Trader Joes,90756884,,36.09,,35.09
Safeway,93351329,,,12.79,12.89
Wegmans,93351329,,12.89,,12.49
Trader Joes,93351329,14.29,,12.19,
Walmart,93351329,,12.02,,11.72
Whole Foods,93351329,15.89,,1.99,
Wegmans,93696286,,8.49,,
Trader Joes,93696286,,,7.99,8.09
Walmart,93696286,,7.94,7.66,
Whole Foods,93696286,,9.29,1.99,
Safeway,93696286,,,8.39,8.49
Trader Joes,94769945,,19.79,,19.19
Walmart,94769945,21.25,18.8,18.13,18.32
Whole Foods,94769945,,22.09,1.99,
Wegmans,94769945,,20.19,,19.59
Safeway,94769945,,,19.99,20.19
Safeway,94849573,,,56.49,57.09
Trader Joes,94849573,,,,54.29
Whole Foods,94849573,70.09,,,
Wegmans,94849573,,57.09,,55.39
Walmart,95658838,41.12,,35.06,
Whole Foods,95658838,,42.79,1.99,41.49
Trader Joes,95658838,43.29,,,37.29
Safeway,95658838,45.59,,38.79,39.19
Wegmans,95658838,,39.19,,38.09
Wegmans,95862680,,11.69,11.29,11.39
Trader Joes,95862680,,,,11.19
Whole Foods,95862680,,12.79,1.99,
Walmart,95862680,,10.94,10.53,10.66
Safeway,95862680,13.59,,,11.69
Trader Joes,95866554,37.69,33.39,,32.39
Safeway,95866554,39.59,,33.79,34.09
Whole Foods,95866554,41.89,37.19,1.99,
Walmart,95866554,,31.73,30.57,
Wegmans,95866554,,34.09,,33.09
Wegmans,98164748,,11.79,,11.39
Whole Foods,98164748,,12.79,1.99,12.39
Walmart,98164748,12.34,10.92,10.54,10.67
Trader Joes,98164748,12.99,,,11.19
Safeway,98164748,13.59,,11.59,11.79
Whole Foods,98441419,,30.09,1.99,
Walmart,98441419,28.92,25.64,,24.92
Trader Joes,98441419,,26.99,,26.19
Wegmans,98441419,,27.59,,26.69
Safeway,98441419,,,27.29,27.59
Walmart,99583114,,23.02,22.11,22.34
Whole Foods,99583114,,26.99,1.99,
Trader Joes,99583114,,24.19,23.29,
Wegmans,99583114,,24.69,,23.99
Safeway,99583114,,,24.49,24.69
Trader Joes,99830442,63.99,56.79,,55.09
Wegmans,99830442,,57.89,,56.19
Whole Foods,99830442,,63.19,1.99,61.29
Safeway,99830442,67.29,,57.29,57.89
Walmart,99830442,60.73,53.82,51.71,52.33
Safeway,101201265,56.29,,47.99,48.49
Wegmans,101201265,,48.49,,47.09
Walmart,101201265,,45.15,,43.71
Whole Foods,101201265,59.59,52.89,1.99,51.29
Trader Joes,101201265,,,,46.09
Walmart,105664025,23.9,21.26,,20.54
Wegmans,105664025,,22.79,,22.09
Whole Foods,105664025,27.99,24.79,1.99,
Safeway,105664025,,,22.49,
Trader Joes,105664025,,22.29,,21.69
Safeway,106365705,,,20.39,20.59
Wegmans,106365705,,20.59,,19.99
Walmart,106365705,,19.2,,
Trader Joes,106365705,22.79,,,19.59
Whole Foods,106365705,25.29,22.49,1.99,21.79
Wegmans,106599165,,37.29,35.89,36.19
Walmart,106599165,,34.77,,
Trader Joes,106599165,,36.59,,35.49
Whole Foods,106599165,,40.69,1.99,
Safeway,106599165,,,36.99,37.29
Walmart,106918220,,,21.24,21.43
Whole Foods,106918220,29.19,25.89,1.99,25.09
Wegmans,106918220,,,22.79,
Trader Joes,106918220,,,,22.59
Safeway,106918220,,,23.49,23.69
Wegmans,107865183,,32.69,31.39,31.69
Whole Foods,107865183,,35.59,1.99,34.59
Walmart,107865183,34.27,30.4,,29.56
Trader Joes,107865183,,,30.79,31.09
Safeway,107865183,,,32.29,32.69
Walmart,109076038,,33.25,31.91,
Trader Joes,109076038,,,,33.89
Wegmans,109076038,,,,34.59
Safeway,109076038,,,,35.69
Whole Foods,109076038,,38.89,1.99,37.79
Safeway,110354720,,,15.59,15.79
Walmart,110354720,,14.74,14.13,14.35
Wegmans,110354720,,15.79,,15.29
Trader Joes,110354720,,15.49,,14.99
Whole Foods,110354720,,17.19,1.99,
Whole Foods,110497121,27.39,,1.99,23.59
Safeway,110497121,25.89,,22.09,
Wegmans,110497121,,22.29,,21.69
Walmart,110497121,23.4,,,20.16
Trader Joes,110497121,,,20.99,
Walmart,111650456,59.46,,50.77,
Safeway,111650456,,,56.19,
Wegmans,111650456,,56.69,,55.09
Whole Foods,111650456,69.79,,1.99,
Trader Joes,111650456,,55.59,,53.99
Wegmans,112509592,,41.09,,39.89
Walmart,112509592,,38.25,36.7,
Trader Joes,112509592,45.39,40.29,38.69,39.09
Whole Foods,112509592,50.59,44.89,1.99,
Safeway,112509592,,,40.69,41.09
Safeway,112817865,,,55.89,
Walmart,112817865,59.1,52.56,50.42,
Trader Joes,112817865,,55.29,,53.69
Wegmans,112817865,,56.39,54.19,54.79
Whole Foods,112817865,,61.59,1.99,
Walmart,113224794,,35.73,,34.77
Wegmans,113224794,,38.39,36.89,37.29
Whole Foods,113224794,,41.89,1.99,40.69
Trader Joes,113224794,,,36.19,36.59
Safeway,113224794,,,38.09,38.39
Wegmans,113921219,,19.29,,18.79
Whole Foods,113921219,23.79,21.09,1.99,20.49
Safeway,113921219,,,19.19,19.29
Walmart,113921219,,18.02,17.35,
Trader Joes,113921219,,,,18.39
Wegmans,115104280,,19.59,18.79,18.99
Safeway,115104280,22.69,,19.39,19.59
Whole Foods,115104280,,21.29,1.99,20.69
Trader Joes,115104280,,,,18.59
Wegmans,115681900,,30.39,,
Whole Foods,115681900,,,1.99,
Safeway,115681900,,,29.99,30.39
Trader Joes,115681900,,,,28.89
Walmart,115681900,31.82,28.2,27.17,
Walmart,118708197,,19.9,,19.37
Trader Joes,118708197,23.59,20.89,,20.29
Wegmans,118708197,,21.39,,20.69
Safeway,118708197,,,21.09,21.39
Whole Foods,118708197,,,1.99,
Walmart,119616993,34.06,30.21,29.03,
Wegmans,119616993,,32.49,31.19,31.49
Trader Joes,119616993,,,,30.89
Safeway,119616993,37.69,,32.09,32.49
Whole Foods,119616993,,35.39,1.99,34.39
Safeway,120290503,11.89,,10.19,
Wegmans,120290503,,10.29,9.89,9.99
Trader Joes,120290503,,,9.69,9.79
Whole Foods,120290503,12.59,11.19,1.99,
Walmart,120290503,,9.57,9.22,9.3
Wegmans,120596009,,53.29,,51.69
Walmart,120596009,,,47.61,
Whole Foods,120596009,65.49,58.09,1.99,56.39
Trader Joes,120596009,58.89,52.19,,50.69
Whole Foods,121620235,,63.09,1.99,61.19
Walmart,121620235,,53.83,51.71,52.21
Safeway,121620235,,,57.29,57.79
Wegmans,121620235,,57.79,55.59,56.09
Trader Joes,121620235,,,,54.99
Whole Foods,122484761,,37.69,1.99,36.59
Walmart,122484761,,32.14,,31.21
Wegmans,122484761,,,,33.49
Trader Joes,122484761,38.09,33.79,,32.79
Safeway,122484761,,,34.19,34.49
Safeway,124052151,,,19.89,20.09
Trader Joes,124052151,,19.69,18.99,19.19
Walmart,124052151,21.14,18.73,,18.21
Whole Foods,124052151,,21.99,1.99,
Wegmans,124052151,,20.09,19.39,19.59
Safeway,124091247,,,,53.19
Whole Foods,124091247,,57.99,1.99,56.29
Wegmans,124091247,,53.19,51.09,51.59
Trader Joes,124091247,58.69,,,50.59
Walmart,124091247,,49.4,,48.04
Safeway,125829867,,,14.39,14.59
Wegmans,125829867,,14.59,13.99,14.09
Trader Joes,125829867,,,13.69,13.89
Walmart,125829867,,13.52,13.0,13.25
Whole Foods,125829867,17.89,,1.99,
Safeway,126967843,28.39,,24.29,24.49
Wegmans,126967843,,24.49,,23.79
Whole Foods,126967843,,,,25.89
Trader Joes,126967843,27.09,,23.09,23.29
Walmart,126967843,25.75,22.83,21.9,22.1
Whole Foods,127821311,,22.09,1.99,21.49
Trader Joes,127821311,22.39,,,19.29
Safeway,127821311,23.49,,20.09,20.29
Walmart,127821311,,18.96,,
Wegmans,127821311,,20.29,,19.69
Trader Joes,127838957,,,,38.49
Wegmans,127838957,,40.49,,39.29
Safeway,127838957,46.99,,40.09,
Whole Foods,127838957,49.69,44.09,1.99,42.79
Walmart,127838957,42.4,37.62,36.14,36.52
Trader Joes,127887048,,8.69,8.39,8.39
Walmart,127887048,,8.26,,8.04
Safeway,127887048,,,8.79,
Whole Foods,127887048,,9.69,1.99,
Wegmans,127887048,,,8.49,8.59
Trader Joes,129232150,,,20.19,20.39
Safeway,129232150,,,21.29,21.49
Whole Foods,129232150,26.39,23.39,1.99,22.69
Walmart,129232150,,20.03,,19.45
Wegmans,129232150,,21.49,,
Wegmans,129833275,,27.39,26.29,26.59
Safeway,129833275,31.79,,27.09,27.39
Trader Joes,129833275,,,25.79,26.09
Whole Foods,129833275,33.69,,1.99,
Walmart,129833275,,25.56,24.52,24.76
Wegmans,130186387,,20.39,19.59,19.79
Whole Foods,130186387,,22.19,1.99,
Trader Joes,130186387,,19.99,19.19,
Safeway,130186387,,,20.19,20.39
Walmart,130186387,21.36,18.91,,
Trader Joes,130318597,,,,55.79
Whole Foods,130318597,72.09,63.99,1.99,62.09
Wegmans,130318597,,58.59,,56.89
Walmart,130318597,,54.54,,52.91
Safeway,130358296,37.89,,32.29,32.69
Wegmans,130358296,,32.69,31.39,31.69
Walmart,130358296,34.22,,,29.55
Trader Joes,130358296,36.09,,30.79,31.09
Whole Foods,130358296,40.19,35.59,1.99,
Wegmans,131820869,,53.29,,51.69
Whole Foods,131820869,65.49,58.09,1.99,56.39
Safeway,131820869,,,52.69,53.29
Trader Joes,131820869,,52.19,50.19,50.69
Walmart,131820869,,49.52,47.6,48.1
Whole Foods,132112942,,,1.99,
Safeway,132112942,,,57.69,58.29
Walmart,132112942,,54.27,52.1,
Trader Joes,132112942,,,54.89,
Wegmans,132112942,,58.29,,56.59
Walmart,132458395,32.81,29.15,27.91,28.24
Wegmans,132458395,,31.29,,30.39
Safeway,132458395,,,30.99,
Whole Foods,132458395,38.39,34.09,1.99,
Trader Joes,132458395,34.49,,29.39,29.69
